Review,Mhs0,Mhs0,Ahli
"Saya dulu pernah ke sini, berapa tahun yang lalu, waktu itu fasilitas kotor dan rusak dan banyak binatang stress...karena sekarang sering baca review yang positif, saya ke sini lagi, pleasant surprise, tempatnya hijau dan bersih dan binatang kelihatan sehat dan tenang...harga masuk sangat murah, 05.111 rupiah",0,0,
"saya ngga masuk ke dalam, cuma untuk foto aja di depan monumen suroboyo di depan kebun binatang.....",1,1,
Kbs dulu kubuh banget sekarang uda beda ya gess..bersih ga bau amis kemana mana..dan lebih rapi lebih lebih pokok nya...pertahankan dan lebih di bagusin lagi ya kbs...sesuaikan kebersihan dh harga..ada harga ada kualitas kawan..that's balance,0,0,
"Beberapa hari yang lalu gue berkunjung ke Kebun Binatang Surabaya (KBS) karena emang dari dulu gue pengen banget bisa berkunjung kesini. Selain icon Surabaya pertama kali ada di KBS yaitu Patung Sura dan Buaya, gue pun mau tau koleksi binatang disini. FYI yaa guys, HTMnya itu Rp.05ribu/orang dan kalo kalian mau masuk wahana lainnya itu bayar lagi. Kaya gue masuk Akuariumnya itu kena Rp. 01rb per orang. Agak disayangkan sih yaah, yang di Akuarium jenis ikanyaa masih belum terlalu lengkap, dan ada beberapa akuarium yang jenis ikannya apa tapi keterangnya apa jadi nggak di update. Padahalkan itu sangat penting untuk sarana belajar anak-anak untuk mengenal jenis ikan. Itu sih salah satu yang disayangkan, padahalkan udah ada HTM lagi, saran saya kenapa tidak HTMnya itu digunakan untuk peng-update-an fasilitas agar semakin imbang ??",1,1,
"dengan HTM 05.111 weekend, sangat terjangkau dengan kondisi KBS saat ini. cukup bersih dan terawat. Tiket naik gajah sangat mahal dibandingkan zoo lainnya di Jawa Timur.",0,0,
"Tiket masuk benilai 05111 rupiah. Tidak mendapatkan brosur penjelasan apapun. Maupun denah. Untuk denah Kita bisa foto disaat Kita masuk kebun binatang. Sudah terdapat banyak improvement semenjak permasalahan internal terjadi. Terdapat beragam binatang. Namun harimau tetap mengenaskan, badannya kurus nampak kurang makan.",0,1,
"Selain berwisata anak-anak bisa mendapatkan sarana edukasi interaktif seperti tanya jawab mengenai satwa bersama dokter,keeper,maupun host (perlu hubungi CS). Saat ini sarana wisatanya lebih lengkap seperti kids zoo,kolam renang,kereta onta,sarapan bersama gajah,serta taman selfie. Kondisi Kebun Binatang Surabaya saat ini lebih bersih. Jangan lupa coba wisata perahu yang merupakan unggulan KBS,sekarang faktor keamanan lebih diperhatikan dimana semua penumpang dewasa dan anak-anak menggunakan pelampung.",0,0,
"Lebaran kemaren sempat berkunjung ke KBS Surabaya atas usulan istri. Awalnya rada pesimis, mengingat sebelumnya tempatnya kumuh. Ternyata sejak di pegang Pemkot Surabaya, sekarang tempatnya jadi bersih dan rapi. Banyak juga ditambahin taman buat spot foto. Penataan parkirnya juga bagus. Tidak menyesal ke sini, dengan tiket yang sangat murah Rp 05.111 saja",0,0,
"Surabaya Zoo terletak di jalan utama yang dapat diaksea dengan mudah. Harga tiket hanya Rp. 05.111, sangat murah ukuran wisata di kota Surabaya. Koleksi satwanya cukup banyak, ada aneka burung, orang utan, gajah, harimau, landak, buaya, komodo, kuda nil, jerapah, onta zebra dan masih banyak lagi. Kondisi satwa terpelihara dengan baik. Selain itu juga ada pertunjukkan kepandaian binatang dengan biaya tambahan Rp. 01.111. Pengunjung bisa keliling area dengan kereta onta maupun naik perahu, tentunya dengan biaya tambahan yang tidak mahal. Jika lapar dan haus, tersedia aneka stand makanan dan minuman dengan harga terjangkau dan wajar. Jangan lupa untuk membuang sampah pada tempatnya.",0,0,
"Kebun binatang sangat asri, sejuk, walaupun koleksi satwanya ada yang tidak lengkap tapi cukup bagus untuk sarana edukasi dan wisata buat anak-anak mengenal hewan di habitatnya. Tiket masuk terjangkau dan lokasi strategis.",0,0,
"Kebun binatang ini memprihatinkan sekali. Binatang-binatang yang kurus kelaparan, perawatan yang sangat kurang, hingga fasilitas yang memprihatinkan",1,1,
"Untuk harga tiket masuk 05k per org,jika rombong lebih murah 03k per org ( minim 31 prg) ,saya kesana beserta 3 anak anak,0 balita, anak anak bener bener excited sekali,explore seluruh area dg bahagia, seneng bgt. Tapi ketika kami kelelahan dan mencari kursi untuk istirahat jumlah nya terbatas,cuma saran ,tambah kursi istirahat biar anak anak klo capek bisa istirahat, ndak duduk di jalanan,untuk yg lain bagus,banyak pepohonan",0,0,
Tempat yang paling cocok untuk wisata dan belajar anak-anak adalah dengan mengunjungi Kebun Binatang Surabaya,0,0,
Salah satu Jujukan wisata di Surabaya. Luasnya memang mengecil dibandingkan dulu. Namun masih memadai untuk berkeliling,0,1,
Kebun binatang legendaris tapi sekarang tidak terawat banyak sampah dan kandang hewan banyak yang kosong,1,1,
"Untuk biaya masuk murah, tapi sangat disayangkan saat masuk saya melihat hewan"" yang terlihat kurang sehat.harus diperhatikan kesehatan hewan juga untuk kebersihan areal KBS sudah mulai bersih Terimakasih",1,0,
"Saya kira Kebun Binatang Surabaya (KBS) sudah mengalami banyak peningkatan, yaitu mulai dari fasilitas di dalam KBS, akses masuk yg lebih dekat dengan parkir, penataan food court dsb. Saya juga melihat ada perbaikan yg cukup signifikan di area akuarium. Walaupun harus bayar terpisah utk masuk ke area tsb (01rb/ orang), tapi ga jadi masalah karena tempatnya sudah ga sumpek kayak dulu. Lokasi yg sekarang cukup sejuk dan membuat kami dan anak0 cukup betah utk belajar mengenai jenis dan sifat ikan. Ke depan, dengan manajemen yg baik dan tertata saya optimis KBS akan selalu menjadi pilihan utama bagi warga Surabaya dan sekitarnya sebagai alternatif wisata yg murah dan mendidik. Semoga koleksi KBS semakin lengkap dan hewan0 dalam keadaa yg terawat..",1,0,
"Anak suka mengunjungi zoo ini, sekarang udah banyak binatangnya, binatang terlihat sehat, tidak berbau seperti jaman dahulu, ada kolam renang juga, bisa naik unta dan gajah",0,0,
Kebun binatang surabaya sekarang memang lebih bersih dan nyaman dari pada kecil saya dulu. tempat yang cocok untuk mengajak keluarga jalan-jalan kesini....,0,0,
"Kebun Binatang Surabaya merupakan salah satu obyek wisata legendaris di Surabaya. Setelah sekian tahun tidak pernah mengunjunginya, Minggu 7 Januari 0108 mencoba mengunjunginya karena anak saya minta kesana. Pertama kali masuk terasa bedanya, sekarang menjadi lebih bersih dan ada banyak perubahannya. Ada spot-spot foto, paving yang lebih lebar dengan gambar jejak kaki hewan, tanaman yang diberi pagar kayu atau bambu sehingga tampak lebih bagus. Beberapa tempat duduk disediakan pengelola untuk tempat beristirahat. Ada juga penambahan pujasera dan wisata perahu yang tempatnya baru. Untuk tiket masuk 05.111 pengunjung sudah bisa menikmati beragam hewan yang ada di sana, ditambah dengan rindangnya pepohonan seolah-olah sedang tidak berada di Surabaya. Beberapa wahana memang tidak gratis, pengunjung harus mengeluarkan uang lagi untuk menikmatinya, misal akuarium yang dulunya gratis sekarang harus membayar 01.111 per orang, tapi untuk perawatannya saya rasa tidak masalah. Mengenai kebersihan, beberapa kali akan ada petugas yang menyapu lokasi KBS sehingga terasa betul bersihnya. Sayangnya masih ada pengunjung yang tidak mentaati peraturan yang ada. Di tiap kandang hewan sudah ada tulisan dilarang memberi makan hewan, tapi masih banyak pengunjung yang memberi makanan ke hewan-hewan tersebut. Contohnya di kandang beruang, pengunjung melemparkan kecang ke beruang tersebut, hal ini bisa berpengaruh terhadap kesehatan hewannya karena kacang bukanlah makanan beruang. Untuk yang ingin berwisata murah meriah sambil mengedukasi anak-anak mengenai binatang, bolehlah datang kesini, bisa banget bawa keluarga besar.",0,0,
"Disini enak bila malam hari, berkumpul bersama teman malam malam hinga larut malam, ada pengamen dan penjual minuman yang berkeliling",0,0,
"Selain berfungsi sebagai kebun binatang juga berfungsi sebagai paru-paru kota surabaya, kebun binatang ini adalah peninggalan orang belanda sebelum indonesia merdeka, wisata yang murah meriah, sambil wisata mengenalkan juga berbagai jenis binatang disana , koleksi binatang yang lumayan komplit",0,0,
"Untuk hewan - hewan yang ada jumlahnya biasa saja, memang tidak berharap banyak sih karena tiket masuk di sini lebih murah daripada ke taman satwa kayak taman safari atau batu secret zoo. Sayangnya hewannya kurus - kurus, beruang pada lemes, yang terlihat semangat hanya monyet KBS. Air pada aquarium ikan juga nampak tidak jernih, ntah karna kebersihan air atau kebersihan aquariumnya",1,1,
"Kebun binatang ini terletak di Wonokromo (Surabaya Selatan). Kebun binatang ini sangat cocok untuk wisata murah di Kota Surabaya. Tiket masuknya masih lumayan murah juga. Di depan kebun Binatang ada Icon Kota Surabaya yang dapat digunakan untuk berfoto. Koleksi satwanya cukup lengkap, ada tempat main untuk anak anak juga.",0,0,
"binatangnya lengkap, harga untuk masuk tiket juga lumayan tidak terlalu murah ataupun mahal mengingat binatang yang ada disana lengkap",0,0,
Kebun Binatang Surabaya sudah cukup bersih dan banyak perubahan dibandingkan dahulu sebelum di ambil alih oleh management yg sekarang...banyak koleksi hewan dan semakin bagus pelayanannya..Sangat rekomendasi untuk rekreasi keluarga dan wisatawan yg sudah berkunjung ke Surabaya.,0,0,
"Kebun Binatang Surabaya merupakan salah satu ikon terkenal di kota Surabaya. Kebun binatang yang telah ada sejak dekade yang lalu memiliki berbagai koleksi hewan dan tanaman. Juga ada akuarium yang menjadi rumah bagi ratusan jenis ikan air laut dan ikan air tawar. Beragam hewan malam juga dapat dilihat. Begitu juga dengan berbagai macam spesies burung, reptil, binatang liar. Gajah dan unta sangat menarik karena pada hari-hari tertentu (Sabtu atau Minggu), pengunjung dapat mengendarainya. Mainan anak-anak mulai dari papan seluncur, mandi bola, dll, juga tersedia. Bagi Anda yang suka wisata kuliner, jangan khawatir, Anda akan dimanjakan dengan berbagai jenis makanan di sekitar kebun binatang. Singkatnya, Kebun Binatang Surabaya tidak hanya sebuah tempat untuk liburan, tapi juga untuk belajar. Tapi jangan lupa, jika Anda berkunjung ke sini, buanglah sampah di tempatnya, dan jadilah contoh baik tentang kepedulian pada lingkungan.",0,0,
Walaupun si kecil belum mengerti dan paham tapi aku selalu mengajaknya jalan0 dan mengenalkan hal0 baru yg dilihatnya. Seperti saat ke kebun binatang Surabaya aneka satwa aku kenalkan padanya. Dia senang melihat aneka satwa tersebut.,0,0,
"Tempat yg sangat cocok untuk keluarga baik kecil sampai dewasa. Tapi kalau musim hujan sangat tidak disarankan karena merupakan area terbuka kecuali di Aquarium. Bila ingin naik gajah juga tersedia, harga tiket juga tidak mahal.",0,0,
"kebun binatang terletak di Surabaya Selatan.disana terdapat berbeagi hewan dari seluruh penjuru dunia.temapt ini juga bisa dijadikan tempat belajar bagi anak anak untuk lebih mengenal hewan secara langsung dan juga untuk di jadikan tempat balajar bagi anak-anak untuk mengetahui asal usul hewan tersebut.dan janagn khawatir bagi yang suka kuliner didalam area KBS sudah terdapat kuliner yang beragam khas makanan jawa timur.dan juga ada tempat hiburan yang lain. di sebelah timurnya terdapat masjid Al falah yang berjarak sekitar kurang lebih 011 meter,bagi Muslim yang ingin beribadah juga bisa dijadikan refernsi untuk beribadah Yuk Ke KBS Rek...",0,0,
terakhir ke kebun binatang sat liburan awal tahun 0107 .. sepertinya sudah mulai berbenah untuk lebih baik ... jalanan sudah hampir semua mulai di paving .. kebun binatang ini selalu ramai di kunjungi apalagi untuk tunggang gajahnya .. tunggang gajah favorit keluarga selama di kbs .. di awal tahun kemarin saya liat untuk yang lokasi aquarium baru di renov menjadi lebih bagus ...,0,0,
"Ragam jenis hewannya banyak, lokasinya didepan patung Sura dan Baya persis. Kalau pas ke patung Sura dan Baya, tinggal jalan kaki saja untuk kesini",0,0,
"Kalian yang ke Surabaya harus banget foto di depan patung Sura dan Buaya di depan kebun binatang Surabaya. Selain foto didepan, harus masuk ke dalam kebun binatangnya . Orang0 bilangnya ""bonbin"" singkatan dari kebon binatang.. haha.",0,0,
Kebun Binatang yang Satu ini terkesan tidak ada yang baru dari dulu. Selain itu tempatnya Cukup panas.,1,1,
Tidak berbeda dengan kebun binatang lain di kota-kota besar di Indonesia. KBS menampilkan tipikal wajah yang lebih kurang mirip. Penataan ruang yang masih kaku dan seperti seadanya adalah salah satu contohnya. Menurut saya KBS musti mencontoh kebun binatang modern di negara-negara maju agar lebih dipoles sehingga tampil lebih menarik.,1,1,
"Cocok bgt buat anak0..selain berwisata, anak0 jg sambil belajar pula disitu..tak heran jika kita kesana bareng sama anak0 kecil dri sekolah yg berkunjung di sini..Tp jgn lupa buat para Orang tua,buat ksh dulu anaknya dgn anti nyamuk..karna banyak nyamuknya..hehehe..Lebih di tingkatkan lgi untuk semuanya .Sukses KBS",0,0,
"Jalan jalan di wisata satwa dengan aneka ragam binatang tanpa memerlukan biaya mahal dan tidak bikin capai datanglah di sini. areal cukup luas dan rindang dengan banyaknya pepohonan menjadikan kebun binatang ini sebagai tempat bersantai ria. dari masih bujang, sampai punya anak disinilah tempat mencari suana hiburan yang murah dan menyenangkan bagi semuanya, anak anak maupun orang tuanya.",0,0,
"setelah terakhir waktu TK ke kebun binatang surabaya ini, setelah dikabarkan hampir ditutup akhirnya bisa mengunjungi kebun binatang ini. sayang sekali hewan hewan yang ada disana sebagian besar usianya sudah sangat tua dan mayoritas hanya sendiri. tidak seperti di kebun binatang di ragunan. dan kesadaran pengunjung utuk membuang sampah di tempat sampah masih kuran.",1,1,
"Kebanyakan binatang Surabaya adalah salah satu icon wisata Surabaya yang sayang untuk dilewatkan. Lokasi ini terletak di tengah kota. Di lokasi ini tersimpan beragam koleksi binatang dan memiliki banyak pohon yang rindang , sangat berguna sebagai hutan kota. Meskipun agak kurang terawat, tetapi lokasi ini berguna untuk sarana edukasi dan rekreasi warga sekitarnya.",0,0,
Walaupun tidak terlalu besar namun kebun binatang surabaya dikelola dengn sangat baik. Kita masih bisa menemui harimau di sini. Sayangnya jumlah satwa nya tidak terlalu banyak. Tapi secara keseluruhn sangat baik.,0,1,
"Saya mengujungi Kebun Binatang Surabaya (KBS) atau Surabaya's Zoo beberapa kali. Salah satu objek wisata di Surabaya ini memang menjadi salah satu ikon Kota Surabaya, oleh sebab itu, banyak saudara saya yang dari luar kota selalu mengingnkan bisa berkunjung ke KBS bila ke Surabaya. Saya sekeluarga seringkali menjadi pemandu untuk mereka. KBS bagi saya pribadi memberikan kesan yang mendalam. Beberapa tahun yang lalu, saya termasuk pengagum KBS. Hampir semua yang saya lihat menyenangkan: binatang-binatangnya, termasuk kesempatan kita naik gajah; wisata airnya yang memberi kesempatan kta untuk berperahu; akuarium air tawar dan air lautnya yang memiliki banyak ragam ikan dan biota laut dan air tawar yang lain; dioramanya yang lengkap dengan binatang malam, baik yang masih hidup maupun yang sudah mati; juga kebersihannya; semuanya menyenangkan. Tapi terakhir saya mengunjungi KBS, semua kesan menyenangkan di atas tidak lagi saya dapatkan. Bayangan tentang binatang-binatang yang terawat, kebersihan yang memiliki standar tersendiri, dan juga akuarium dan lain-lainnya, tidak lagi seperti kunjungan-kunjungan saya sebelumnya. Harapan saya, semoga KBS ke depan bisa kembali seperti dulu, dan bahkan bisa lebih baik.",0,0,
"Alhamdulillah sekarang KBS sudah mulai berbenah, pada awalnya agak sedih mau masuk KBS Krn kabar yg beredar KBS melalaikan penghuninya, Alhamdulillah ternyata lebih baik sepertinya, anak0 bisa belajar banyak tentang binatang, juga mulai tertata rapi meskipun bisa lebih baik lagi terutama tentang panduan nama0 binatang , jenis, dll kurang lengkap, hanya sebagian sdh dipasang sebagian yg lain harus mengira0 sendiri nama binatang nya dan kroscek dg internet ??. Juga tempat ibadah dlm hal ini Masjid yg terlalu sempit mengingat banyak nya pengunjung.",0,0,
"Ketika kemari, saya sangat tertarik dengan jerapahnya. Terlihat sangat lucu. Namun sayang ketika saya kesana, hari sangat terik",1,0,
"kebun binatang surabaya adalag salah satu icon kota surabaya, dan pernah menjadi salah satu kebun binatang terbesar di asia tenggara, beraneka macam satwa dapat kita jumpai disana, slain itu tempat nya cukup rindang dan cocok bagi sarana rekreasi dan edukasi untuk anak0. namun sayangnya kebun binatang ini kurang terawat dan butuh perhatian lebih dari pemerintah kota setempat.",0,0,
terahir saya kesanan sekitar 0119 dan saya kesana kembali 0106 namun tidak ada perubahan yg sangat besar hampir tetap sama juga banyak kandang yg terliat rusak namun yang sekarang cukup bersih,1,1,
"Kebun binatang yang dulu cukup terkenal dengan koleksi satwa yang terbanyak dan menjadi tujuan wisata keluarga dan pendidikan buat anak anak, sekarang kondisi nya memprihatinkan dan sangat jauh kalah bersaing dengan taman safari 0 di pasuruan dan secret zoo di batu malang, seharus nya pihak pengelola lebih cermat dalam memperbaiki dan inovatif mensikapi agar kebun binatang surabaya dapat bersaing dan mensuguhkan atraksi yang baik dan bagus buat keluarga",0,1,
"Tempat ini sebenarnya tidak terlalu terawat dan bersih, tergantung hari apa anda datang. Jika anda datang di akhir pekan, anda akan berjubel dengan pewisata lain. Jika anda memiliki anak kecil dan ingin memperkenalkan pertama kali pada berbagai jenis binatang, anda bisa membawa mereka ke tempat ini. Selain itu jika cukup kuat, anda bisa menaiki menara pandang di sisi belakang KBS untuk bisa melihat ke seluruh area KBS. Tinggi tower ini setara dengan bangunan 6 lantai dan anda harus menaiki tangga.",1,1,
"Kawasan wisata ini sangat kurang terawat baik tempat maupun binatang0 yang ada di dalamnya, terasa miris melihatnya kawasan yang penuh sejarah tetapi tidak adanya perhatian dari pemerintah untuk mengelola kawasan ini, sehingga wisatawan asing enggan masuk ke tempat ini disamping bau dan joroknya serta binatang-binatang yang tidak terawat.",1,1,
"cuaca nya cukup panas, lokasinya strategis tepat di tengah kota, di depannya juga ada patung sura&baya, cocok untuk wisata keluarga terutama anak kecil,",0,0,
"Kebum binatang Surabaya sudah ada dan dikenal sejak lama, tempat ini sebenarnya merupakan tempat yang bagus untk belajar bagi anak0. Banyak yg bisa di pelajari sayang nya tempatnya kurang nyaman mungkin pengelolaan nya kurang terurus",0,0,
"tempat wisata yg menyajikan pemandangan bermacam-macam hewan yg berasal dari indonesia maupun luar , tp saat berkunjung disana sangat disayangkan ....keadaan hewannya tidak terlihat seprti dialam bebes... badan yang sangat kurus dan ada beberapa tempat yang ada disana tidak dimanfaatkan dengan baik, padahal tempat wisata satu satunya disurabaya menyajikan pemadangan alam dengan harga tiket yang terjangkau dikantong masyarakat,mungkin untuk menarik minat pengunjung pengelolah disana menambah beberapa permainan modern yang memikat anak kecil, walaupun begitu keadaan disana tidak mengurangi niat pengunjung untuk datang kesana terutama saat weekend",1,1,
"Di kebun binatang Surabaya ini terdapat berbagai macam spesies hewan dari Indonesia maupun spesies dari luar negeri. mungkin jika dihitung terdapat ribuan spesies hewan. Bisa jadi menjadi yang terlengkap di Indonesia. Pada akhir pecan maupun musim liburan banyak pengunjung yang berwisata di tempat ini, karena mungkin tempatnya yang strategis di tengah-tengah Kota Surabaya. KBS sangat bagus untuk dijadikan tempat edukasi bagi anak-anak.",0,0,
Sebenarnya kebun binatang ini adalah salah satu kebun binatang dengan koleksi terlengkap di Asia Tenggara. Namun manajemen yang kurang bagus menyebabkan perawatan flora dan fauna di sini memprihatinkan. Dulu ketika saya kecil KBS adalah salah satu destinasi wisata edukasi yang sangat luar biasa.,1,1,
"Saya kesini setelah terakhir kali 01 tahun yang lalu. Dan ternyata tidak ada perubahan selama itu. Segalanya tidak terawat dan kotor. Kondisi hewan juga membuat miris dan sedih. Dibutuhkan renovasi total untuk mengubahnya, kalo memang pemkot surabaya benar-benar ingin mengubah wajah KBS saat ini.",1,1,
"Kalo mau mengenalkan flora dan fauna bisa direkomendasikan.. Tapi Sepertinya kenyamanan satwa yg ada di Bonbin ini kurang ya,, karna ada sebagian kandang yg tidak terawat. Trus ada beberapa satwa yg kandangnya terbilang sempit.. Kalo hari biasa mungkin sangat menyenangkan berada disini tapi tidak saya anjurkan untuk weekend dan liburan karna tempatnya penuh sesak pengunjung.. Mungkin banyakan pengunjungnya kali,, dibandingin satwanya sendiri.. Buat pengelola harap ditingkatkan lagi kualitas kandang dan satwanya. Makasih..",1,1,
"pertama, saya melihat langsung maskot suro si ikan hiu vs boyo si buaya di depan kebun binatang ini, kedua setelah masuk, komentar saya kok kurang terawat ya ? dan overall, bagi manajemen dan pihak terkait, perbaiki dong objek wisata ini ...",1,1,
"Kebun Binatang Surabaya (KBS) berada kurang lebih 01km dari jantung kota pahlawan. Jika Anda ingin ke tempat ini, berbagai macam angkutan kota dapat menuju tempat wisata ini. KBS akan sangat ramai saat musim liburan dan saat hari Raya Idul Fitri, terutama untuk liburan keluarga. Meskipun tidak banyak perubahan di bagian dalamnya tapi tempat ini sukup menarik dan dapat menambah ilmu pengetahuan saat menikmati liburan. Bagi para pengunjung baik domestik maupun luar negeri tempat ini perlu untuk dikunjungi.",0,0,
"Terakhir berkunjung februari lalu. Sepi sekali, hewannya sgt sedikit. Dan ada beberapa bagian yg ditutup.",1,1,
